Blog	golden	songwriter	service	singer	saying	nature	dave	shadow	crowd	bottom	following	seriously	internet	west	ascii	dirty	november	followed	huge	scott	research	singles	chorus	land	resources	process	books	length	festival	false	tonight	tape	web	places	problem	worth	era	production	l	electronic	musical	peel	turns	guy	ended	non	tomorrow	vocals	america	gonna	using	learned	tracks	inspired	hansi	pictures	wave	michael	ryan	camera	meet	links	including	university	tunes	widow	http	library	likely	met	amazing	personal	seven	deal	somehow	father	round	okay	box	bob	visit	fuck	interesting	lunch	performance	london	label	august	tour	among	images	zero	needs	acts	chart	century	epic	entire	access	hair	excellent	drummer	saturday	final	despite	however	news	conference	parker	level	figure	jazz	featuring	career	friday	store	electric	wrote	solo	questions	nick	include	g	local	opening	joy	job	april	perhaps	difficult	theatre	episode	copy	theme	score	possible	team	current	date	data	definitions	twin	industry	act	image	original	cast	pick	science	sense	information	imagine	w	relationship	session	sex	community	funny	recent	link	code	results	led	lee	doubt	clearly	edition	co	ca	cd	moments	near	dr	kept	minor	december	indeed	hall	ep	size	mostly	husband	classic	media	recorded	food	neil	bass	genre	liked	seeing	himself	download	click	attack	ben	anyway	written	sonic	type	acoustic	points	www	shit	digital	pink	guys	vinyl	language	question	reading	margin	totally	bowie	audience	broken	drums	field	students	starting	titled	search	none	folk	luke	throughout	create	understand	bill	excited	per	forward	giving	pagination	lp	latest	buy	studio	mr	several	greatest	bands	christmas	nd	particular	sing	weird	ok	taylor	included	added	recently	pt	due	fucking	issues	fine	sort	studios	van	table	guitarist	itself	example	series	previous	support	awesome	truly	recordings	bright	october	johnny	available	church	straight	format	continue	spring	themselves	uk	magic	system	means	site	ghost	interview	created	loved	photo	welcome	certainly	text	presented	usually	january	happen	british	national	rules	los	history	issue	wonderful	september	jeff	within	win	completely	based	underground	records	stories	whose	features	modern	mine	seem	dog	coast	human	character	johnson	latin	mso	broadcast	shot	nearly	similar	either	general	film	important	public	compilation	members	para	park	recording	fans	simple	simply	f	matt	apparently	mid	mix	add	although	limited	tom	snow	chris	approach	games	trust	plus	gig	focus	happened	releases	released	unfortunately	ideas	college	key	alt	thursday	knows	v	parts	expect	remix	material	july	piano	wall	mike	present	smith	whether	brought	hop	beauty	debut	boston	release	result	asked	player	tune	films	punk	san	note	pages	artist	mean	certain	smile	via	soundtrack	england	blues	vocal	river	tools	pieces	produced	lucky	etc	monday	indie	eventually	guitars	james	title	area	building	heaven	amount	tried	beyond	event	albums	whatever	facebook	plays	singing	becomes	ride	control	mentioned	quality	playlist	exactly	orphan	computer	began	twitter	artists	presents	lights	answer	content	definitely	lyrics	bar	super	jones	thank	main	voices	wonder	normal	parent	share	mountain	built	particularly	yesterday	google	body	collection	dad	mention	south	bear	calling	lake	alive	noise	j	changed	changes	metal	players	cambria	longer	tstyle	brother	quick	sessions	stream	birthday	season	review	cities	earlier	font	aren	hip	various	became	women	tag	york	view	closer	lead
bittersweet	0	0	8	0	20	3	0	2	1	3	1	3	3	0	0	3	1	1	7	0	0	0	0	2	0	5	8	0	0	1	8	0	1	6	8	4	0	0	0	0	1	0	3	19	6	3	12	2	0	2	0	0	1	4	0	19	1	0	0	0	39	0	0	0	1	0	0	0	6	13	9	3	0	15	18	2	6	4	0	0	4	31	4	14	1	2	0	2	0	2	2	1	9	0	0	1	0	0	0	30	1	0	2	0	0	1	3	0	0	1	6	1	2	1	0	10	0	5	1	3	0	7	1	3	1	5	3	7	5	11	0	0	0	1	0	10	2	1	12	0	0	1	1	3	2	0	3	1	0	13	2	13	0	45	2	35	0	18	3	1	0	1	0	0	10	5	0	1	0	0	4	4	0	10	0	1	18	0	0	3	16	5	0	10	0	8	0	0	0	3	16	5	0	0	2	1	38	2	0	14	2	0	0	30	0	3	6	0	3	4	21	0	5	0	4	24	0	0	0	1	0	4	2	0	0	3	6	11	0	0	0	4	8	0	0	3	5	0	9	1	1	1	6	1	10	1	9	22	0	6	1	10	0	6	44	2	6	14	0	0	10	0	3	0	0	4	1	0	30	0	46	1	0	1	0	3	0	2	0	4	1	3	0	16	1	3	1	1	40	1	2	17	9	0	25	2	32	0	2	0	0	2	2	8	0	0	0	2	11	0	0	0	6	2	2	0	14	12	0	0	6	8	0	0	0	0	1	2	0	21	2	1	15	5	0	1	0	1	0	2	6	6	0	0	2	0	0	0	0	0	1	1	1	1	5	6	4	0	1	22	0	0	12	0	0	2	0	1	33	7	9	15	1	1	1	1	2	0	2	0	20	6	0	13	4	0	0	2	25	6	0	0	0	0	2	0	3	44	19	29	3	1	1	0	1	0	0	14	0	39	12	0	0	8	0	7	6	0	0	7	7	10	4	4	1	28	11	0	1	2	20	5	2	0	3	29	0	1	0	0	0	4	1	13	0	9	3	5	6	0	14	1	1	69	2	2	3	0	1	5	6	2	11	0	7	1	0	9	4	0	8	2	4	6	2	0	11	0	9	0	9	1	0	1	0	6	0	0	4	0	6	0	3	5	21	0	0	1	8	2
Swinging Singles Club	2	1	0	4	4	3	0	0	0	3	2	1	9	3	0	0	2	2	1	2	1	38	0	1	1	1	1	9	1	1	0	4	4	6	1	16	2	2	0	1	13	4	0	8	10	1	1	2	2	1	2	4	14	2	0	1	22	1	0	1	0	0	3	1	1	0	0	0	15	1	1	5	18	5	1	0	1	0	8	5	0	16	15	2	2	2	36	3	6	0	1	5	7	0	0	4	1	5	1	6	0	5	0	9	3	7	2	0	0	5	2	5	4	3	0	3	0	2	8	0	0	1	0	12	2	2	5	2	10	7	0	0	15	0	1	0	0	2	0	0	0	0	0	1	0	4	0	8	0	8	5	5	6	1	2	2	0	5	1	3	0	1	1	0	5	0	2	6	2	8	3	2	0	1	5	1	2	1	15	0	8	1	4	0	14	2	0	4	1	16	6	1	1	2	0	2	16	1	3	9	1	4	0	39	5	4	5	23	0	4	0	0	8	5	1	0	0	1	0	7	0	1	1	0	0	2	0	5	3	0	0	2	4	0	16	0	13	1	2	4	1	47	7	0	8	2	9	6	0	7	6	7	0	2	30	0	10	8	0	0	2	3	8	3	1	11	0	5	5	11	1	1	0	4	0	4	5	8	3	9	4	0	1	3	2	0	2	0	4	3	7	12	0	1	9	1	3	0	1	2	0	2	2	6	3	0	2	2	2	7	5	58	1	3	4	4	1	13	0	2	1	1	0	1	0	0	1	5	1	13	1	1	5	0	30	7	0	2	12	0	0	5	1	2	27	6	4	3	0	1	0	2	1	1	0	3	5	0	1	3	6	29	8	0	1	2	0	0	5	2	0	6	2	1	1	0	1	2	3	4	0	0	0	2	4	21	15	1	1	7	7	0	35	6	5	0	1	6	6	0	0	1	4	3	0	0	0	0	4	0	1	1	7	6	3	1	6	10	0	0	5	1	3	1	1	13	6	2	3	0	1	4	2	2	1	3	2	2	3	0	6	0	0	2	2	1	7	2	5	0	1	3	0	9	1	0	7	1	0	3	0	11	0	9	1	3	1	0	1	0	4	5	1	1	0	1	3	0	7	0	0	3	2	1	1	1	0	1	3	0	2	0	17	2	3	1	3	0	1	5
adrianoblog	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
funky little demons	1	0	0	1	1	0	0	0	0	1	0	0	0	2	0	0	1	1	1	0	0	0	0	0	0	0	1	0	2	0	1	2	0	1	1	0	0	0	0	0	0	0	1	2	0	0	4	1	0	0	1	0	3	0	0	0	2	1	0	0	0	1	0	0	0	0	0	1	2	0	0	1	1	0	2	1	2	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	2	1	0	1	2	0	0	1	1	0	0	0	0	1	0	0	2	0	2	0	1	4	0	0	2	0	0	1	0	2	1	0	0	0	1	0	0	0	1	0	1	3	0	0	1	2	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	2	0	0	1	3	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	2	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	4	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	1	2	1	1	0	1	1	1	0	2	1	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	2	0	1	2	0	0	0	2	0	0	0	0	0	0	1	0	4	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	2	0	1	1	1	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Morgan's Blog	1	0	1	2	5	5	0	0	14	4	1	4	7	8	0	1	3	2	2	0	0	0	0	2	2	2	0	1	5	3	5	0	1	6	2	9	0	0	2	0	2	0	2	13	1	3	1	2	2	1	4	2	4	5	0	3	0	1	5	6	13	0	3	0	1	0	1	1	5	6	6	7	2	5	1	6	2	9	2	0	5	4	12	1	4	1	0	0	9	2	0	2	4	2	0	1	2	1	4	7	1	0	1	8	2	15	10	5	2	4	5	0	1	3	3	5	2	1	1	2	0	4	0	17	2	7	11	0	5	0	0	2	0	2	1	2	1	4	11	0	1	0	0	3	2	1	0	3	0	8	3	4	4	11	6	7	0	13	5	2	2	1	5	2	6	3	0	4	1	1	6	4	0	8	0	1	5	0	0	1	3	2	5	3	0	5	9	0	1	3	13	5	0	0	2	0	4	3	0	3	2	3	1	13	3	2	6	1	4	5	3	0	4	0	4	1	0	3	0	4	1	2	3	2	0	1	3	1	2	1	0	4	1	0	0	5	1	0	1	14	2	1	2	0	0	4	0	0	0	5	7	4	0	6	2	1	7	0	0	1	2	0	6	1	1	1	1	8	7	0	0	2	0	1	0	3	1	1	5	4	1	1	3	4	3	1	0	0	7	5	2	9	0	2	8	1	1	1	3	3	0	7	4	3	3	2	1	7	1	2	0	0	2	1	0	0	6	3	1	3	5	3	0	0	0	2	2	7	0	9	2	22	0	8	0	5	0	5	0	3	3	2	3	1	10	3	3	5	11	1	2	6	0	3	1	2	7	0	3	4	1	0	3	2	3	2	0	2	5	4	0	3	0	1	0	2	2	2	1	1	3	3	0	4	1	10	3	0	4	1	2	6	0	5	8	2	3	10	1	2	0	0	2	2	1	2	0	1	1	4	10	0	0	4	1	1	4	5	4	1	0	3	3	6	1	0	0	4	2	3	2	5	5	2	0	5	0	0	1	3	3	2	1	6	2	1	0	2	1	1	0	4	0	9	2	2	3	1	1	0	1	0	1	1	9	12	2	0	3	4	2	0	1	6	0	0	3	0	6	0	7	4	0	1	0	10	0	0	0	1	4	1	2	0	12	0	1	9	2	6
MR. BEAUTIFUL TRASH ART	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop Tones	9	6	4	22	11	13	1	3	8	8	15	12	9	21	0	4	5	1	4	2	3	4	7	13	0	11	4	12	8	1	32	0	2	4	15	14	33	16	8	10	43	0	4	17	3	14	4	18	19	4	6	3	36	12	0	1	6	21	2	10	6	0	40	3	2	1	1	0	18	5	4	10	16	10	16	5	2	3	3	14	3	0	31	0	25	4	6	3	4	29	3	8	4	1	1	18	15	8	4	1	8	3	1	21	19	4	40	3	1	11	6	5	11	42	3	3	3	5	10	6	2	7	8	1	10	4	4	7	25	19	1	5	2	8	5	16	8	14	21	4	0	8	12	18	10	25	10	17	1	50	2	12	52	16	1	4	3	3	35	0	1	7	12	6	17	17	3	8	0	3	8	4	4	6	7	4	21	3	6	1	40	1	31	32	5	1	3	10	18	5	14	24	4	0	2	10	9	14	15	14	2	6	1	2	5	2	4	0	25	21	8	4	2	9	10	7	5	32	2	8	2	0	10	8	0	8	9	7	5	0	5	12	8	0	2	19	2	10	7	29	21	7	4	1	13	5	8	2	1	8	1	7	4	2	0	13	20	18	0	9	1	2	27	6	25	21	7	3	16	2	0	10	2	2	14	6	1	9	4	10	2	4	19	7	0	1	6	1	1	0	2	24	3	0	7	6	7	16	11	8	2	48	24	0	4	2	6	74	9	25	4	18	15	22	8	13	0	8	7	2	23	15	2	0	0	3	13	28	6	33	17	157	18	28	2	13	0	6	1	29	7	6	6	4	24	13	11	3	31	2	13	1	7	5	6	2	6	0	4	16	10	19	6	9	5	13	1	5	6	2	9	5	0	13	2	8	35	17	8	3	20	6	29	4	16	2	15	16	7	15	4	59	7	6	10	0	31	12	14	1	3	1	18	11	15	5	1	10	8	2	16	7	17	5	5	19	29	3	3	2	11	3	10	6	70	11	3	12	5	6	4	4	3	5	2	15	1	2	9	5	17	1	3	5	12	4	38	1	3	8	3	3	3	7	2	0	8	4	13	23	12	1	2	4	2	14	16	8	6	3	9	16	9	4	3	12	16	0	9	0	3	2	3	1	1	15	6	7	10	0	5	26	17	8	7	1	29	19	8	15
sweeping the kitchen	1	0	0	1	1	0	1	0	0	0	0	0	1	1	0	3	0	3	1	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	2	0	0	0	0	3	0	0	1	0	0	4	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	3	0	0	2	1	0	0	0	2	2	0	4	1	0	0	0	1	0	0	1	0	2	1	0	0	0	0	2	2	1	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	3	0	1	3	0	2	2	1	0	3	1	0	1	1	1	1	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	2	0	2	0	0	0	0	0	0	2	1	0	1	0	0	1	0	0	0	0	2	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1	2	0	1	0	2	1	2	0	0	1	4	0	0	4	0	0	0	1	0	0	0	0	0	2	0	0	0	2	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	1	2	0	1	1	0	0	0	1	1	0	0	0	1	1	0	9	0	1	1	1	0	0	0	0	0	1	2	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	1	1	1	0	1	0	2	2	0	0	0	0	0	1	0	0	0	1	1	0	0	1	2	0	1	0	0	1	1	0	0	0	0	5	0	0	0	1	2	0	0	0	0	0	1	1	0	0	0	0	1	0	0	2	0	0	1	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	1	0	6	0	0	0	1	0	0	0	0	2	7	0	2	0	1	0	1	4	0	1	0	0	0	0	0	1	0	0	7	0	0	0	0	0	1	0	1	1	0	2	1	0	0	0	1	1	0	0	0	0	1	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	7	1	1	0	0	1	1	0	1
Room 19's Blog 2016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	4	0	0	0	0	0	4	0	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	4	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEM REGRAS	3	0	5	0	1	0	0	7	0	3	0	0	0	5	0	4	1	0	0	1	0	0	0	3	0	0	0	0	0	2	2	1	0	0	0	0	6	0	13	0	0	0	2	0	0	1	1	0	1	0	0	0	0	0	0	10	10	0	0	4	0	0	0	0	0	6	0	0	0	0	1	0	2	1	0	1	0	0	1	3	0	1	0	1	0	3	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	3	0	11	0	0	0	0	0	11	0	0	8	1	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	11	0	2	0	1	7	0	0	6	1	0	0	0	0	0	0	0	0	0	1	4	0	2	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	10	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	14	0	0	0	0	0	4	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	6	0	3	0	0	0	0	0	1	1	0	0	0	14	0	0	2	0	2	0	0	0	0	0	0	0	0	0	3	1	0	0	9	1	0	2	0	0	7	0	0	0	0	22	1	0	2	0	8	0	1	1	0	0	1	0	0	0	1	1	0	7	0	0	1	1	0	0	3	0	0	0	0	0	0	1	0	0	17	0	2	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	10	1	1	15	0	0	0	2	0	0	0	0	0	0	0	0	0	3	1	0	0	0	2	0	0	1	1	10	0	8	0	1	0	1	0	1	0	0	2	4	0	0	0	6	0	0	0	0	0	0	0	9	0	0	7	14	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	3	1	2	0	0	0	0	2	0	0	2	0	0	0	0	11	0	0	0	4	0	0	4	3	13	5	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	3	4	0
